date,deaths,oh_deaths
3/13/20,7,0
3/14/20,9,0
3/15/20,12,0
3/16/20,18,0
3/17/20,23,1
3/18/20,40,1
3/19/20,56,0
3/20/20,49,5
3/21/20,46,1
3/22/20,113,4
3/23/20,142,4
3/24/20,225,5
3/25/20,247,7
3/26/20,268,6
3/27/20,401,8
3/28/20,525,13
3/29/20,370,20
3/30/20,558,15
3/31/20,914,9
4/1/20,1050,17
4/2/20,974,18
4/3/20,1051,24
4/4/20,1330,19
4/5/20,1167,26
4/6/20,1259,25
4/7/20,1973,21
4/8/20,1943,34
4/9/20,1901,24
4/10/20,2035,27
4/11/20,1830,27
4/12/20,1528,36
4/13/20,1535,41
4/14/20,2407,40
4/15/20,2618,41
4/16/20,2176,36
4/17/20,2528,55
4/18/20,1867,42
4/19/20,1561,34
4/20/20,1939,44
4/21/20,2683,43
4/22/20,2358,43
4/23/20,2340,44
4/24/20,1957,57
4/25/20,2065,33
4/26/20,1157,45
4/27/20,1384,52
4/28/20,2470,61
4/29/20,2390,40
4/30/20,2201,29
5/1/20,1897,49
5/2/20,1691,37
5/3/20,1154,49
5/4/20,1324,28
5/5/20,2350,36
5/6/20,2528,34
5/7/20,2129,40
5/8/20,1687,31
5/9/20,1422,39
5/10/20,750,36
5/11/20,1060,21
5/12/20,1871,23
5/13/20,1822,19
5/14/20,1753,7
5/15/20,1602,15
5/16/20,1218,9
5/17/20,865,8